iter	Logloss
0	0.6667403793
1	0.6410814119
2	0.6168382828
3	0.5937030691
4	0.572590605
5	0.5516872377
6	0.5328698762
7	0.5144860028
8	0.4969030928
9	0.4805879112
10	0.4649104119
11	0.450523431
12	0.4369256497
13	0.4234663794
14	0.4115179639
15	0.4001587478
16	0.3890919621
17	0.3787171438
18	0.3690765331
19	0.3598859288
20	0.3510247748
21	0.3430348063
22	0.3350949506
23	0.3277165186
24	0.3206972285
25	0.3138270063
26	0.3076757896
27	0.3014324097
28	0.2956161735
29	0.2903573435
30	0.2854253785
31	0.280568422
32	0.2760242339
33	0.2717065376
34	0.2674219767
35	0.2635383251
36	0.2598462147
37	0.2562173957
38	0.2528840726
39	0.2494804188
40	0.2462417681
41	0.2434709722
42	0.2408002278
43	0.2384089828
44	0.2358387498
45	0.2333874428
46	0.2310024
47	0.2288283144
48	0.226785117
49	0.2248037386
50	0.2230844864
51	0.2213892371
52	0.2196308403
53	0.2179895066
54	0.2163831421
55	0.2148879632
56	0.2134022143
57	0.2120487806
58	0.2108810935
59	0.2095012846
60	0.2082250714
61	0.2071945856
62	0.2061644682
63	0.2050677063
64	0.204015478
65	0.2031045629
66	0.202144589
67	0.2012729288
68	0.2004229381
69	0.1996471206
70	0.198899577
71	0.1980744788
72	0.1973510505
73	0.1966261917
74	0.1957994708
75	0.1951584517
76	0.1945138145
77	0.1939928291
78	0.1934287424
79	0.1928283597
80	0.1923558909
81	0.1918598042
82	0.191309734
83	0.190802834
84	0.1903430515
85	0.1898522678
86	0.189453803
87	0.1890779423
88	0.1886794298
89	0.1882481786
90	0.1878425231
91	0.1874827924
92	0.1871514672
93	0.1868332085
94	0.1865096611
95	0.1861660433
96	0.185857577
97	0.1855653483
98	0.1852239053
99	0.1849128992
100	0.1845547673
101	0.1842342697
102	0.183917704
103	0.1836159466
104	0.1833782262
105	0.1831485542
106	0.182873549
107	0.1826109499
108	0.1823963278
109	0.1821631893
110	0.1819521687
111	0.1817113228
112	0.1815186449
113	0.1812995895
114	0.1810524167
115	0.1808158839
116	0.1806371513
117	0.180407304
118	0.1802633683
119	0.180055426
120	0.1799015999
121	0.1797399317
122	0.1795527985
123	0.179451043
124	0.1792632786
125	0.1791449187
126	0.1789899856
127	0.1788159127
128	0.1786491221
129	0.1785059846
130	0.1783661815
