iter	Passed	Remaining
0	39	78010
1	77	76987
2	116	77526
3	156	78104
4	196	78459
5	236	78760
6	277	79058
7	320	79874
8	363	80310
9	405	80729
10	450	81533
11	497	82442
12	540	82633
13	579	82260
14	620	82108
15	663	82240
16	702	81938
17	746	82181
18	785	81912
19	825	81752
20	866	81682
21	905	81385
22	950	81722
23	1014	83518
24	1084	85643
25	1131	85899
26	1183	86518
27	1233	86855
28	1287	87475
29	1331	87437
30	1373	87229
31	1415	87076
32	1456	86822
33	1500	86775
34	1545	86779
35	1592	86874
36	1631	86569
37	1671	86320
38	1717	86339
39	1758	86162
40	1797	85891
41	1836	85609
42	1881	85619
43	1920	85385
44	1962	85253
45	2004	85162
46	2047	85075
47	2095	85229
48	2138	85142
49	2206	86056
50	2248	85933
51	2290	85794
52	2334	85757
53	2388	86061
54	2429	85919
55	2472	85841
56	2513	85672
57	2552	85472
58	2593	85329
59	2659	85980
60	2698	85784
61	2761	86326
62	2801	86136
63	2841	85965
64	2882	85811
65	2937	86065
66	2979	85948
67	3019	85776
68	3061	85676
69	3102	85548
70	3142	85367
71	3183	85238
72	3226	85161
73	3268	85059
74	3310	84958
75	3350	84816
76	3390	84666
77	3435	84650
78	3476	84547
79	3524	84576
80	3565	84462
81	3611	84466
82	3656	84441
83	3699	84393
84	3740	84264
85	3779	84120
86	3826	84129
87	3875	84196
88	3917	84112
89	3959	84033
90	4005	84021
91	4047	83944
92	4090	83870
93	4139	83926
94	4180	83827
95	4221	83726
96	4262	83628
97	4317	83792
98	4357	83675
99	4400	83603
100	4440	83498
101	4481	83399
102	4521	83280
103	4562	83170
104	4603	83073
105	4643	82967
106	4695	83075
107	4738	83009
108	4780	82929
109	4821	82847
110	4865	82798
111	4907	82723
112	4946	82599
113	4986	82501
114	5027	82406
115	5079	82496
116	5119	82390
117	5162	82329
118	5202	82236
119	5243	82145
120	5283	82046
121	5324	81955
122	5364	81865
123	5405	81774
124	5447	81712
125	5486	81603
126	5526	81504
127	5567	81425
128	5609	81352
129	5650	81273
130	5688	81165
131	5735	81159
132	5775	81076
133	5818	81024
134	5862	80995
135	5905	80945
136	5945	80847
137	5988	80805
138	6029	80724
139	6068	80618
140	6109	80553
141	6157	80570
142	6197	80482
143	6242	80458
144	6302	80623
145	6342	80543
146	6384	80484
147	6428	80437
148	6468	80362
149	6509	80284
150	6552	80230
151	6592	80145
152	6634	80096
153	6675	80019
154	6716	79942
155	6758	79887
156	6797	79791
157	6842	79766
158	6884	79713
159	6925	79641
160	6966	79578
161	7008	79515
162	7050	79456
163	7092	79398
164	7142	79432
165	7183	79362
166	7223	79290
167	7264	79221
168	7313	79234
169	7352	79147
170	7394	79087
171	7442	79096
172	7481	79014
173	7522	78939
174	7563	78876
175	7603	78803
176	7645	78739
177	7688	78704
178	7731	78652
179	7784	78708
180	7830	78698
181	7877	78685
182	7927	78714
183	7969	78658
184	8011	78599
185	8051	78524
186	8090	78437
187	8131	78370
188	8171	78299
189	8212	78230
190	8251	78150
191	8291	78080
192	8332	78013
193	8375	77970
194	8416	77908
195	8455	77825
196	8496	77759
197	8536	77694
198	8580	77653
199	8623	77611
200	8664	77553
201	8709	77522
202	8750	77457
203	8790	77393
204	8836	77373
205	8875	77297
